iter	Passed	Remaining
0	49	49429
1	52	26057
2	54	17978
3	55	13805
4	57	11377
5	58	9664
6	59	8450
7	60	7532
8	61	6819
9	63	6240
10	64	5772
11	65	5402
12	66	5076
13	68	4802
14	69	4558
15	70	4342
16	71	4154
17	73	3984
18	74	3830
19	75	3692
20	76	3567
21	77	3452
22	78	3345
23	79	3251
24	81	3165
25	82	3082
26	83	3005
27	84	2934
28	85	2876
29	87	2818
30	88	2762
31	89	2711
32	91	2692
33	93	2654
34	94	2605
35	95	2558
36	96	2515
37	97	2474
38	98	2437
39	100	2406
40	101	2370
41	102	2335
42	103	2304
43	104	2278
44	105	2249
45	107	2239
46	110	2236
47	112	2223
48	113	2197
49	114	2172
50	115	2145
51	116	2118
52	117	2093
53	118	2072
54	119	2054
55	120	2030
56	121	2007
57	122	1984
58	123	1963
59	124	1942
60	124	1921
61	125	1901
62	126	1882
63	127	1862
64	128	1844
65	128	1825
66	129	1806
67	130	1788
68	131	1770
69	131	1752
70	132	1734
71	133	1722
72	134	1712
73	135	1696
74	136	1679
75	136	1663
76	137	1646
77	137	1630
78	138	1615
79	139	1599
80	139	1585
81	140	1570
82	140	1553
83	141	1538
84	141	1525
85	142	1511
86	142	1498
87	143	1484
88	143	1471
89	144	1458
90	144	1445
91	145	1433
92	145	1421
93	146	1408
94	146	1396
95	147	1386
96	147	1374
97	148	1363
98	148	1351
99	148	1340
100	149	1329
101	149	1319
102	150	1308
103	150	1298
104	151	1288
105	151	1278
106	152	1268
107	152	1258
108	152	1248
109	153	1238
110	154	1236
111	154	1226
112	155	1217
113	155	1207
114	155	1198
115	156	1189
116	156	1179
117	156	1170
118	156	1161
119	157	1152
120	157	1144
121	157	1135
122	158	1126
123	158	1118
124	158	1110
125	158	1102
126	159	1094
127	159	1086
128	159	1079
129	160	1072
130	160	1064
131	160	1057
132	161	1050
133	161	1043
134	161	1036
135	162	1030
136	162	1023
137	162	1017
138	163	1010
139	163	1004
140	163	997
141	163	990
142	164	984
143	164	978
144	164	971
145	165	965
146	165	959
147	165	953
148	165	947
149	166	941
150	166	936
151	166	930
152	167	924
153	167	919
154	167	913
155	167	907
156	168	902
157	168	896
158	168	891
159	168	886
160	168	880
161	169	875
162	169	870
163	169	865
164	169	860
165	170	855
166	170	849
167	170	845
168	170	840
169	171	835
170	171	830
171	171	825
172	171	821
173	172	816
174	172	812
175	172	807
176	172	803
177	173	799
178	173	794
179	173	790
180	173	786
181	174	782
182	174	778
183	174	773
184	174	769
185	174	765
186	175	761
187	175	757
188	175	753
189	175	749
190	175	745
191	176	741
192	176	737
193	176	733
194	176	729
195	177	726
196	177	722
197	177	718
198	177	714
199	177	711
200	178	707
201	178	703
202	178	700
203	178	696
204	178	693
205	178	689
206	179	686
207	179	683
208	179	679
209	179	676
210	179	672
211	180	669
212	180	666
213	180	663
214	180	659
215	180	656
216	181	653
217	181	650
218	181	647
219	181	644
220	181	641
221	182	638
222	182	635
223	182	632
224	182	629
225	182	626
226	183	623
227	183	620
228	183	617
229	183	614
230	183	611
231	184	609
232	184	606
233	184	603
234	184	600
235	184	598
236	184	595
237	185	592
238	185	590
239	185	587
240	185	584
241	185	582
242	186	579
243	186	577
244	186	574
245	186	572
246	186	569
247	187	567
248	187	564
249	187	562
250	187	559
251	187	557
252	187	555
253	188	552
254	188	550
255	188	547
256	188	545
257	188	543
258	189	541
259	189	538
260	189	536
261	189	534
262	189	532
263	190	529
264	190	527
265	190	525
266	190	523
267	190	521
268	191	519
269	191	516
270	191	514
271	191	512
272	191	510
273	191	508
274	192	506
275	192	504
276	192	502
277	192	500
278	192	498
279	193	496
280	193	494
281	193	492
282	193	490
283	193	488
284	194	486
285	194	484
286	194	482
287	194	481
288	194	479
289	194	477
290	195	475
291	195	473
292	195	471
293	195	470
294	195	468
295	196	466
296	196	464
297	196	462
298	196	461
299	196	459
300	197	457
301	197	455
302	197	454
303	197	452
304	197	450
305	197	449
306	198	447
307	198	445
308	198	444
309	198	442
310	198	440
311	199	439
312	199	437
313	199	435
314	199	434
315	199	432
316	200	431
317	200	429
318	200	427
319	200	426
320	200	424
321	201	423
322	201	421
323	201	420
324	201	418
325	201	417
326	202	416
327	202	414
328	202	413
329	202	411
330	203	410
331	203	408
332	203	407
333	203	406
334	203	404
335	204	403
336	204	401
337	204	400
338	204	399
339	204	397
340	205	396
341	205	394
342	205	393
343	205	392
344	205	390
345	206	389
346	206	388
347	206	386
348	206	385
349	206	383
350	206	382
351	207	381
352	207	380
353	207	378
354	207	377
355	207	376
356	208	374
357	208	373
358	208	372
359	208	370
360	208	369
361	209	368
362	209	367
363	209	365
364	209	364
365	209	363
366	210	362
367	210	360
368	210	359
369	210	358
370	210	357
371	210	356
372	211	354
373	211	353
374	211	352
375	211	351
376	211	350
377	212	348
378	212	347
379	212	346
380	212	345
381	212	344
382	212	343
383	213	341
384	213	340
385	213	339
386	213	338
387	213	337
388	214	336
389	214	335
390	214	334
391	214	332
392	214	331
393	215	330
394	215	329
395	215	328
396	215	327
397	215	326
398	216	325
399	216	324
400	216	323
401	216	322
402	216	321
